Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Origin Zone Source,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Destination Zone Source,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Travel Time (sec)
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643062',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),00: All Day (12am-12am),15,359,N/A,1001
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643062',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),14:  HR13 (1pm-2pm),15,59,N/A,1001
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643062',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),8,305,N/A,1001
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643062',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),14:  HR13 (1pm-2pm),8,58,N/A,1001
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643071',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),3,238,N/A,1892
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643071',no,N/A,no,Census Block Group,0: All Days (M-Su),16:  HR15 (3pm-4pm),3,30,N/A,1892
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643071',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),00: All Day (12am-12am),18,359,N/A,1892
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643071',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),16:  HR15 (3pm-4pm),18,67,N/A,1892
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643071',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),10,305,N/A,1892
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643071',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),16:  HR15 (3pm-4pm),10,52,N/A,1892
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),6,238,N/A,1283
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,0: All Days (M-Su),14:  HR13 (1pm-2pm),2,24,N/A,1460
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,0: All Days (M-Su),17:  HR16 (4pm-5pm),2,50,N/A,1489
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,0: All Days (M-Su),18:  HR17 (5pm-6pm),3,30,N/A,900
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,6:  Fr (F-F),00: All Day (12am-12am),27,315,N/A,1194
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,6:  Fr (F-F),17:  HR16 (4pm-5pm),9,110,N/A,1489
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,6:  Fr (F-F),18:  HR17 (5pm-6pm),18,42,N/A,900
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),00: All Day (12am-12am),11,359,N/A,1460
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),14:  HR13 (1pm-2pm),11,59,N/A,1460
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),6,305,N/A,1460
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643073',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),14:  HR13 (1pm-2pm),6,58,N/A,1460
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643081',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),2,238,N/A,755
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643081',no,N/A,no,Census Block Group,0: All Days (M-Su),19:  HR18 (6pm-7pm),2,15,N/A,755
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643081',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),00: All Day (12am-12am),14,359,N/A,755
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643081',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),19:  HR18 (6pm-7pm),14,14,N/A,755
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643081',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),8,305,N/A,755
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643081',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),19:  HR18 (6pm-7pm),8,13,N/A,755
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),20,238,N/A,660
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,0: All Days (M-Su),15:  HR14 (2pm-3pm),3,35,N/A,545
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,0: All Days (M-Su),17:  HR16 (4pm-5pm),11,50,N/A,658
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,0: All Days (M-Su),19:  HR18 (6pm-7pm),6,15,N/A,718
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,1:  Mo (M-M),00: All Day (12am-12am),27,123,N/A,342
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,1:  Mo (M-M),19:  HR18 (6pm-7pm),27,27,N/A,342
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),00: All Day (12am-12am),5,194,N/A,1095
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),19:  HR18 (6pm-7pm),5,13,N/A,1095
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,4:  We (W-W),00: All Day (12am-12am),15,275,N/A,1095
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,4:  We (W-W),19:  HR18 (6pm-7pm),15,29,N/A,1095
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,6:  Fr (F-F),00: All Day (12am-12am),66,315,N/A,658
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,6:  Fr (F-F),17:  HR16 (4pm-5pm),66,110,N/A,658
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),00: All Day (12am-12am),20,359,N/A,545
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),15:  HR14 (2pm-3pm),20,114,N/A,545
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),11,305,N/A,545
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643082',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),15:  HR14 (2pm-3pm),11,63,N/A,545
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),4,238,N/A,622
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,0: All Days (M-Su),14:  HR13 (1pm-2pm),2,24,N/A,656
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,0: All Days (M-Su),18:  HR17 (5pm-6pm),2,30,N/A,589
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),00: All Day (12am-12am),6,194,N/A,656
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),14:  HR13 (1pm-2pm),6,6,N/A,656
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,4:  We (W-W),00: All Day (12am-12am),17,275,N/A,656
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,4:  We (W-W),14:  HR13 (1pm-2pm),17,17,N/A,656
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),6,305,N/A,589
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),18:  HR17 (5pm-6pm),6,45,N/A,589
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,9:  Su (Su-Su),00: All Day (12am-12am),13,238,N/A,589
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439643083',no,N/A,no,Census Block Group,9:  Su (Su-Su),18:  HR17 (5pm-6pm),13,74,N/A,589
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),5,238,N/A,407
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,0: All Days (M-Su),15:  HR14 (2pm-3pm),3,35,N/A,315
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,0: All Days (M-Su),17:  HR16 (4pm-5pm),2,50,N/A,499
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),00: All Day (12am-12am),5,194,N/A,499
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),17:  HR16 (4pm-5pm),5,45,N/A,499
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,4:  We (W-W),00: All Day (12am-12am),14,275,N/A,499
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,4:  We (W-W),17:  HR16 (4pm-5pm),14,69,N/A,499
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),00: All Day (12am-12am),20,359,N/A,315
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),15:  HR14 (2pm-3pm),20,114,N/A,315
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),11,305,N/A,315
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644011',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),15:  HR14 (2pm-3pm),11,63,N/A,315
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),21,238,N/A,1139
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,0: All Days (M-Su),10:  HR09 (9am-10am),3,10,N/A,1167
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,0: All Days (M-Su),13:  HR12 (12noon-1pm),2,6,N/A,1151
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,0: All Days (M-Su),14:  HR13 (1pm-2pm),1,24,N/A,2868
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,0: All Days (M-Su),15:  HR14 (2pm-3pm),7,35,N/A,574
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,0: All Days (M-Su),16:  HR15 (3pm-4pm),5,30,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,0: All Days (M-Su),20:  HR19 (7pm-8pm),3,5,N/A,1069
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,1:  Mo (M-M),00: All Day (12am-12am),11,123,N/A,2868
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,1:  Mo (M-M),14:  HR13 (1pm-2pm),11,11,N/A,2868
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),00: All Day (12am-12am),16,194,N/A,878
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),10:  HR09 (9am-10am),7,15,N/A,1167
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),13:  HR12 (12noon-1pm),4,15,N/A,1151
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),15:  HR14 (2pm-3pm),5,24,N/A,315
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,4:  We (W-W),00: All Day (12am-12am),37,275,N/A,741
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,4:  We (W-W),10:  HR09 (9am-10am),21,35,N/A,1167
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,4:  We (W-W),15:  HR14 (2pm-3pm),16,42,N/A,315
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,5:  Th (Th-Th),00: All Day (12am-12am),12,175,N/A,1151
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,5:  Th (Th-Th),13:  HR12 (12noon-1pm),12,12,N/A,1151
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),00: All Day (12am-12am),78,359,N/A,825
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),15:  HR14 (2pm-3pm),31,114,N/A,703
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),16:  HR15 (3pm-4pm),29,67,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),20:  HR19 (7pm-8pm),18,18,N/A,1069
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),44,305,N/A,825
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),15:  HR14 (2pm-3pm),17,63,N/A,703
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),16:  HR15 (3pm-4pm),16,52,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644012',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),20:  HR19 (7pm-8pm),10,16,N/A,1069
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,0: All Days (M-Su),00: All Day (12am-12am),30,238,N/A,1056
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,0: All Days (M-Su),07:  HR06 (6am-7am),1,3,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,0: All Days (M-Su),10:  HR09 (9am-10am),2,10,N/A,2175
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,0: All Days (M-Su),11:  HR10 (10am-11am),5,6,N/A,569
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,0: All Days (M-Su),14:  HR13 (1pm-2pm),4,24,N/A,1445
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,0: All Days (M-Su),15:  HR14 (2pm-3pm),8,35,N/A,481
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,0: All Days (M-Su),16:  HR15 (3pm-4pm),2,30,N/A,490
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,0: All Days (M-Su),17:  HR16 (4pm-5pm),5,50,N/A,1304
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,0: All Days (M-Su),18:  HR17 (5pm-6pm),3,30,N/A,1456
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,0: All Days (M-Su),19:  HR18 (6pm-7pm),1,15,N/A,465
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,2:  Tu (Tu-Tu),00: All Day (12am-12am),10,132,N/A,465
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,2:  Tu (Tu-Tu),19:  HR18 (6pm-7pm),10,10,N/A,465
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),00: All Day (12am-12am),25,194,N/A,849
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),11:  HR10 (10am-11am),4,7,N/A,321
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),15:  HR14 (2pm-3pm),5,24,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),17:  HR16 (4pm-5pm),11,45,N/A,1304
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,3:  Weekday_TuWeTh (Tu-Th),19:  HR18 (6pm-7pm),3,13,N/A,465
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,4:  We (W-W),00: All Day (12am-12am),64,275,N/A,977
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,4:  We (W-W),11:  HR10 (10am-11am),13,13,N/A,321
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,4:  We (W-W),15:  HR14 (2pm-3pm),16,42,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,4:  We (W-W),17:  HR16 (4pm-5pm),34,69,N/A,1304
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,6:  Fr (F-F),00: All Day (12am-12am),26,315,N/A,718
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,6:  Fr (F-F),07:  HR06 (6am-7am),9,9,N/A,N/A
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,6:  Fr (F-F),11:  HR10 (10am-11am),10,10,N/A,615
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,6:  Fr (F-F),14:  HR13 (1pm-2pm),7,19,N/A,822
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),00: All Day (12am-12am),54,359,N/A,1120
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),10:  HR09 (9am-10am),12,12,N/A,2175
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),15:  HR14 (2pm-3pm),32,114,N/A,481
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,7:  Sa (Sa-Sa),18:  HR17 (5pm-6pm),9,23,N/A,705
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),00: All Day (12am-12am),54,305,N/A,1271
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),10:  HR09 (9am-10am),7,7,N/A,2175
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),11:  HR10 (10am-11am),5,5,N/A,770
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),14:  HR13 (1pm-2pm),8,58,N/A,2068
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),15:  HR14 (2pm-3pm),18,63,N/A,481
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),16:  HR15 (3pm-4pm),6,52,N/A,490
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,8:  Weekend_SaSu (Sa-Su),18:  HR17 (5pm-6pm),10,45,N/A,1456
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,9:  Su (Su-Su),00: All Day (12am-12am),54,238,N/A,1384
All Vehicles LBS Plus - StL All Vehicles Index,30,DV_Park1,no,N/A,no,Input,"",'490439644021',no,N/A,no,Census Block Group,9:  Su (Su-Su),11:  HR10 (10am-11am),12,12,N/A,770
